policy,noise_pct,congestion,capacity,n,carbon_mean,carbon_std,avg_jct_mean,avg_jct_std,tail_jct_mean,tail_jct_std,preemptions_mean,preemptions_std,jobs_completed_mean,jobs_completed_std,carbon_ci95,avg_jct_ci95,tail_jct_ci95,preemptions_ci95,jobs_completed_ci95,carbon_per_completed_job_mean,tradeoff_score
carbon,15.0,high,6,30,53.99089907751693,2.3532705237238583,3.793463215801197,1.0997147541871506,11.081666666666667,3.0649093462558206,168.96666666666667,45.79601197313669,133.36666666666667,19.11937694363086,0.8421070418402947,0.39352787075717344,1.09676372395978,16.387892416956245,6.84178117114759,0.40483053544751507,1.7602836075889878
carbon,15.0,high,8,30,68.3336006629508,4.053577001141802,3.24505010221503,1.0413830575385734,8.791666666666666,2.507444614775884,181.1,52.654599956240524,170.76666666666668,19.60239839888236,1.4505539005782129,0.3726541411901503,0.8972775317756341,18.842206606263062,7.014628179057067,0.40015772396808974,1.538114675266866
carbon,15.0,moderate,6,30,47.80441255667109,4.776940678284935,2.6726995734336,1.0219370764984357,7.668055555555553,2.492433552968712,124.9,44.352312072843475,117.8,13.517294158939885,1.709406268035649,0.36569548624406284,0.8919058922952243,15.871271042539322,4.837101592492343,0.405809953791775,1.3125658016485051
carbon,15.0,moderate,8,30,55.42453759341374,7.507284227609991,1.8580308383729447,0.6632680127499166,6.064999999999999,1.505951873089343,102.7,51.64677778112022,131.0,7.5566823590688275,2.686447159148963,0.23734741013977226,0.5388979567866844,18.481562072608423,2.7041240534693887,0.42308807323216596,0.9970651792884775
carbon,20.0,high,6,30,53.740768622620784,2.351737638137872,3.7192126676444563,1.0546212526765222,10.997499999999999,3.021177962902037,219.3,60.82544272554554,133.4,19.542350121616945,0.8415585057781289,0.377391368480654,1.0811146494057151,21.766105139999606,6.993140179005305,0.40285433750090544,1.7293976695583257
carbon,20.0,high,8,30,67.98024109001383,3.9405111746775194,3.2032879754708636,0.9965550359973163,8.755833333333332,2.501098082597711,230.56666666666666,69.83215509389262,170.5,19.861155989553563,1.410093814201744,0.35661263970058726,0.8950064544028346,24.989115768294532,7.107223393690119,0.39871109143703126,1.5205418450505643
carbon,20.0,moderate,6,30,47.52805977526133,4.7269391460845975,2.616411404003933,0.9851136590429014,7.674999999999997,2.484639111301671,156.9,50.93359436052751,117.5,13.835860453284377,1.6915134495329647,0.3525183955393101,0.8891166871660827,18.226352663171504,4.951099076868237,0.40449412574690496,1.289261037049716
carbon,20.0,moderate,8,30,55.16562112990555,7.480854538186663,1.8379983170266176,0.657174073614515,6.108472222222221,1.7318594817500232,131.56666666666666,57.921280309085695,131.0,7.556682359068822,2.6769894162534222,0.23516672202647054,0.6197379563280137,20.72686396611248,2.7041240534693864,0.42111161167866834,0.9878662938178482
ecovisor_proxy,15.0,high,6,30,52.832808801093435,2.50996858502819,3.063619254302927,0.7826841700110296,8.275555555555552,1.817542606674007,208.86666666666667,53.57928918794143,157.46666666666667,12.58004257800297,0.898180722930852,0.2800799332072696,0.650399268802701,19.173102398174407,4.501710421640478,0.33551741406282876,1.4267581501588682
ecovisor_proxy,15.0,high,8,30,66.72098210073719,4.6696021493647,2.415370268174168,0.6441778950881436,7.371249999999998,1.8836436621296573,191.1,57.10628324630221,180.86666666666667,14.986737431828672,1.6709956687640142,0.23051609926816877,0.6740532277127013,20.43522101272899,5.362935114482141,0.3688959570626826,1.1874856815072767
ecovisor_proxy,15.0,moderate,6,30,46.71737337951071,5.113145419058325,2.04211257504858,0.6013001639306785,6.589722222222219,1.663822909162018,111.5,41.14377650176982,123.5,10.434524921855695,1.8297155894040007,0.21517250022937276,0.5953913815073787,14.72311133410061,3.733946788679461,0.3782783269596009,1.0438120261951924
ecovisor_proxy,15.0,moderate,8,30,54.862431594145036,7.790506508551029,1.421075579219899,0.394252563012382,5.593749999999999,1.4343181719182878,65.03333333333333,37.62197022589541,132.26666666666668,6.564971483160656,2.787796950761152,0.14108146778252423,0.5132641660341565,13.462849143666956,2.349244874194089,0.41478652918960457,0.8173021492017223
ecovisor_proxy,20.0,high,6,30,52.56551987622491,2.448741768601888,3.0415750840097333,0.773369774959293,8.293472222222219,1.8268955946001955,234.93333333333334,58.74370594800559,157.4,12.598850522280141,0.8762709880566552,0.2767468197447605,0.653746192547969,21.021165201326397,4.5084407580632035,0.3339613715135001,1.4170068565119933
ecovisor_proxy,20.0,high,8,30,66.49028474950597,4.592850410490327,2.4025147754462637,0.6265342212311615,7.380138888888886,1.8918944123794519,221.76666666666668,60.76505536920861,180.86666666666667,14.908302091934138,1.643530411740644,0.22420239166459638,0.677005720771095,21.74449580206043,5.334867388571139,0.3676204464587503,1.1815781780537558
ecovisor_proxy,20.0,moderate,6,30,46.50310731507929,5.07655965784685,2.0276793847470325,0.5892803206197303,6.607361111111108,1.6744615432818264,132.53333333333333,46.519356989458096,123.43333333333334,10.464005079263416,1.816623542893973,0.2108712545409046,0.5991983678345079,16.646738106724385,3.744496127523988,0.37674675113485784,1.0371198045797276
ecovisor_proxy,20.0,moderate,8,30,54.69368499182444,7.708822621580756,1.4131499642491654,0.390541335661276,5.571249999999998,1.4080176098186363,78.26666666666667,46.39480747798766,132.23333333333332,6.704004636105164,2.7585667472086493,0.13975342213085337,0.5038526307579541,16.602168636444762,2.3989972490118205,0.4136149608658264,0.8134289622191619
fcfs,15.0,high,6,30,56.28525291041929,3.964629235043878,4.065765835573645,1.0755874433234838,9.730416666666665,1.8766260988398147,0.0,0.0,130.13333333333333,19.295762145652844,1.418724351262949,0.3848940234480198,0.6715420249404909,0.0,6.90489980506652,0.43251987379932855,1.885818258509055
fcfs,15.0,high,8,30,69.7325065841925,5.675189421165436,3.3487271365075317,0.8669182749139663,8.01361111111111,1.7195792351180843,0.0,0.0,160.6,20.49659349325117,2.0308404525368378,0.3102227205267783,0.6153435265078809,0.0,7.334611784067953,0.43419991646446143,1.6000108044816896
fcfs,15.0,moderate,6,30,48.515651795169596,6.052564998197622,2.8396988593034447,1.0375110370902707,6.797916666666665,1.7837004637406633,0.0,0.0,112.06666666666666,17.05959803329115,2.165882568448981,0.3712685564676146,0.6382890134844821,0.0,6.104698754338829,0.432917773306094,1.3956302077050344
fcfs,15.0,moderate,8,30,56.07290406790006,8.364281087418853,2.013169249422939,0.7354074523991524,5.567222222222222,1.4423266599925135,0.0,0.0,127.76666666666667,12.327942282454936,2.9931195468768554,0.2631621770824627,0.5161299666864027,0.0,4.411497489471898,0.43886958571275814,1.0685894511968306
fcfs,20.0,high,6,30,56.28776515629981,3.9749994094310206,4.065765835573645,1.0755874433234838,9.730416666666665,1.8766260988398147,0.0,0.0,130.13333333333333,19.295762145652844,1.4224352705085213,0.3848940234480198,0.6715420249404909,0.0,6.90489980506652,0.43253917896746785,1.8858298416099386
fcfs,20.0,high,8,30,69.74490981036436,5.65195551616788,3.3487271365075317,0.8669182749139663,8.01361111111111,1.7195792351180843,0.0,0.0,160.6,20.49659349325117,2.0225263064109895,0.3102227205267783,0.6153435265078809,0.0,7.334611784067953,0.43427714701347675,1.600057142811099
fcfs,20.0,moderate,6,30,48.46670570297224,6.041928878036743,2.8396988593034447,1.0375110370902707,6.797916666666665,1.7837004637406633,0.0,0.0,112.06666666666666,17.05959803329115,2.162076481730501,0.3712685564676146,0.6382890134844821,0.0,6.104698754338829,0.43248101460118005,1.395368152482086
