policy,noise_pct,congestion,capacity,n,carbon_per_completed_job_mean,carbon_per_completed_job_std,avg_jct_h_mean,avg_jct_h_std,tradeoff_score_mean,tradeoff_score_std,jobs_completed_mean,carbon_per_completed_job_ci95,avg_jct_h_ci95,tradeoff_score_ci95
srtf,20.0,high,6,30,0.29412024718365165,0.019861661305929475,1.05235809573826,0.15197254572532898,0.5974153866054949,0.06578518436527654,198.2,0.007107404218832925,0.054382677057962014,0.02354092589197878
q_drl,20.0,high,6,30,0.29284667810195236,0.017186870908830528,1.1854581717131907,0.17346951651924483,0.6498912755464478,0.07326897520052343,197.33333333333334,0.006150242767934586,0.06207526926157555,0.026218966048640678
las_proxy,20.0,high,6,30,0.31802033086801046,0.02396513011754546,1.323604982658477,0.26994780539515695,0.7202541915841972,0.10795884297534653,182.0,0.008575811674498373,0.09659958154444226,0.03863257580544022
q_drl_guarded,20.0,high,6,30,0.28446244327461945,0.014960687394880906,1.4243947683052132,0.29229124805424966,0.740435373286857,0.1185256044229529,196.3,0.005353613228480187,0.10459507981482502,0.04241384282713179
gaia_proxy,20.0,high,6,30,0.30154030784024466,0.021583485271884098,1.6872030737321424,0.33065113280186326,0.8558054141970037,0.13822047324562492,185.66666666666666,0.007723551011954409,0.11832198827880835,0.04946156112236981
ecovisor_proxy,20.0,high,6,30,0.33617786186676946,0.03276362928860834,3.0415750840097333,0.773369774959293,1.418336750723955,0.3155247625510897,157.4,0.011724314167043715,0.2767468197447605,0.11290908620178616
carbon,20.0,high,6,30,0.4115563732608843,0.06364146423134535,3.7192126676444563,1.0546212526765222,1.7346188910143132,0.42330256363458646,133.4,0.022773805494081804,0.37739136848065397,0.15147687699825363
fcfs,20.0,high,6,30,0.44178823011796803,0.07233940224151565,4.065765835573645,1.0755874433234835,1.8913792723002387,0.433680042784898,130.13333333333333,0.025886322637357028,0.38489402344801976,0.15519041021975488
