jobs_total,jobs_completed,carbon_kg,avg_jct_h,tail_jct_h,preemptions,avg_wait_h,policy,noise_pct,congestion,capacity,seed,setting,dirty_quantile
220,193,67.30493853722845,1.1770293609671847,5.799999999999992,78,1.0666666666666667,q_drl,15.0,high,8,0,realworld_stress,
220,194,66.21253840454577,1.4003436426116838,6.0,156,1.212121212121212,q_drl_guarded,15.0,high,8,0,realworld_stress,0.9
220,181,66.92900524903612,1.1657458563535912,4.333333333333333,612,1.6268939393939392,las_proxy,15.0,high,8,0,parity_30seed,
220,164,63.34767521147013,1.9949186991869914,6.0,186,1.8545454545454545,ecovisor_proxy,15.0,high,8,0,parity_30seed,
220,188,64.22479710979269,1.3266843971631206,5.941666666666667,542,1.3397727272727273,gaia_proxy,15.0,high,8,0,parity_30seed,
140,96,50.11321791947012,3.5711805555555554,8.895833333333332,0,3.132142857142857,fcfs,20.0,moderate,6,0,realworld_stress,
140,101,50.65507184584031,2.766501650165016,7.333333333333333,148,2.9226190476190474,carbon,20.0,moderate,6,0,realworld_stress,
140,122,52.34019633998798,1.146174863387978,6.079166666666666,33,0.9601190476190475,srtf,20.0,moderate,6,0,realworld_stress,
140,122,52.37137923614746,1.2745901639344261,6.0,59,1.0672619047619047,q_drl,20.0,moderate,6,0,realworld_stress,
140,122,51.37573632414358,1.401639344262295,6.0,115,1.1779761904761905,q_drl_guarded,20.0,moderate,6,0,realworld_stress,0.9
140,115,51.79223182942364,1.360869565217391,6.258333333333331,482,1.6857142857142857,las_proxy,20.0,moderate,6,0,parity_30seed,
140,105,48.551646640368205,2.176984126984127,6.416666666666665,178,1.888095238095238,ecovisor_proxy,20.0,moderate,6,0,parity_30seed,
140,120,49.436918873772726,1.6159722222222221,6.254166666666666,387,1.4916666666666665,gaia_proxy,20.0,moderate,6,0,parity_30seed,
140,114,59.339366975494585,3.1403508771929824,7.75,0,2.1107142857142858,fcfs,20.0,moderate,8,0,realworld_stress,
140,119,59.37439362709763,2.4733893557422975,7.608333333333332,193,1.9035714285714285,carbon,20.0,moderate,8,0,realworld_stress,
140,125,61.53610105011921,1.1866666666666665,6.0,34,0.6148809523809523,srtf,20.0,moderate,8,0,realworld_stress,
140,124,59.711760207046446,1.5766129032258063,7.449999999999998,140,0.8738095238095238,q_drl,20.0,moderate,8,0,realworld_stress,
140,122,59.129660851837556,1.57103825136612,7.0,210,0.9398809523809523,q_drl_guarded,20.0,moderate,8,0,realworld_stress,0.9
140,118,60.58743231227752,1.0861581920903955,5.574999999999996,634,1.0410714285714286,las_proxy,20.0,moderate,8,0,parity_30seed,
140,114,57.915924643633446,1.970029239766082,6.583333333333323,166,1.2726190476190475,ecovisor_proxy,20.0,moderate,8,0,parity_30seed,
140,122,58.62649634004033,1.4733606557377046,6.0,498,1.0660714285714286,gaia_proxy,20.0,moderate,8,0,parity_30seed,
220,117,53.51936026696689,3.6866096866096862,10.25,0,4.406818181818182,fcfs,20.0,high,6,0,realworld_stress,
220,122,51.88826339238513,2.836748633879781,9.491666666666665,211,4.018939393939394,carbon,20.0,high,6,0,realworld_stress,
220,189,54.82892429139526,1.1274250440917106,5.633333333333332,54,1.3503787878787878,srtf,20.0,high,6,0,realworld_stress,
220,189,55.01961297099141,1.3055555555555556,6.349999999999999,78,1.4992424242424243,q_drl,20.0,high,6,0,realworld_stress,
220,187,53.37869229117817,1.61096256684492,6.649999999999996,156,1.828030303030303,q_drl_guarded,20.0,high,6,0,realworld_stress,0.9
220,168,55.15156602078775,1.4568452380952377,4.804166666666667,550,2.5321969696969693,las_proxy,20.0,high,6,0,parity_30seed,
220,157,51.661350662371454,2.5387473460721863,7.183333333333327,203,2.542424242424242,ecovisor_proxy,20.0,high,6,0,parity_30seed,
220,180,52.19860348265603,1.5254629629629628,6.087499999999999,466,1.8829545454545455,gaia_proxy,20.0,high,6,0,parity_30seed,
220,150,65.07250667590202,3.5927777777777776,9.0,0,3.2753787878787874,fcfs,20.0,high,8,0,realworld_stress,
220,153,64.317291118055,2.7908496732026142,7.983333333333333,225,2.9564393939393936,carbon,20.0,high,8,0,realworld_stress,
220,194,67.01133328028925,1.0425257731958764,5.337499999999999,46,0.9087121212121212,srtf,20.0,high,8,0,realworld_stress,
220,193,66.88675022947072,1.1770293609671847,5.799999999999992,78,1.0666666666666667,q_drl,20.0,high,8,0,realworld_stress,
220,193,65.64513287886015,1.3644214162348873,5.799999999999992,171,1.218560606060606,q_drl_guarded,20.0,high,8,0,realworld_stress,0.9
220,181,66.52449856169153,1.1657458563535912,4.333333333333333,612,1.6268939393939392,las_proxy,20.0,high,8,0,parity_30seed,
220,167,62.850658563130466,2.045908183632734,6.0,206,1.8390151515151514,ecovisor_proxy,20.0,high,8,0,parity_30seed,
220,188,63.62526637648107,1.321808510638298,5.9958333333333345,555,1.3352272727272727,gaia_proxy,20.0,high,8,0,parity_30seed,
140,99,55.8497449400425,4.641414141414141,10.191666666666665,0,4.133333333333333,fcfs,15.0,moderate,6,1,realworld_stress,
140,99,53.76249938913132,4.692760942760942,10.616666666666664,165,4.404166666666666,carbon,15.0,moderate,6,1,realworld_stress,
140,128,55.603048054460004,1.4166666666666665,8.329166666666664,44,1.3089285714285714,srtf,15.0,moderate,6,1,realworld_stress,
140,127,56.04005807473805,1.5662729658792653,6.983333333333329,73,1.4267857142857143,q_drl,15.0,moderate,6,1,realworld_stress,
140,127,54.9067197700719,1.9061679790026245,7.541666666666662,162,1.7160714285714285,q_drl_guarded,15.0,moderate,6,1,realworld_stress,0.9
140,119,56.551985400048764,1.507703081232493,6.083333333333329,658,2.1375,las_proxy,15.0,moderate,6,1,parity_30seed,
140,109,50.79715398424055,3.2813455657492345,10.266666666666664,196,2.808333333333333,ecovisor_proxy,15.0,moderate,6,1,parity_30seed,
140,120,53.931585963476046,1.8354166666666667,7.420833333333328,467,2.101785714285714,gaia_proxy,15.0,moderate,6,1,parity_30seed,
140,110,67.91762489737987,3.566666666666667,7.8791666666666655,0,2.683333333333333,fcfs,15.0,moderate,8,1,realworld_stress,
140,120,64.88829269520092,3.3,8.35833333333333,157,2.6732142857142858,carbon,15.0,moderate,8,1,realworld_stress,
140,132,68.12940591949263,1.3914141414141412,6.454166666666666,39,0.7714285714285715,srtf,15.0,moderate,8,1,realworld_stress,
140,125,67.7763197541857,1.5466666666666662,6.449999999999999,144,1.026190476190476,q_drl,15.0,moderate,8,1,realworld_stress,
140,124,66.41742118061218,1.6606182795698923,7.704166666666658,211,1.1791666666666665,q_drl_guarded,15.0,moderate,8,1,realworld_stress,0.9
140,125,67.85379766257543,1.4579999999999997,7.433333333333333,819,1.3720238095238093,las_proxy,15.0,moderate,8,1,parity_30seed,
140,118,63.01272151346361,2.386299435028248,8.333333333333332,168,1.7291666666666665,ecovisor_proxy,15.0,moderate,8,1,parity_30seed,
140,127,65.04436256677808,1.8549868766404198,9.791666666666643,572,1.4232142857142858,gaia_proxy,15.0,moderate,8,1,parity_30seed,
220,106,59.873630052316734,5.293238993710691,11.395833333333332,0,5.925757575757575,fcfs,15.0,high,6,1,realworld_stress,
220,108,55.64350926790591,5.402777777777777,16.25,225,6.3537878787878785,carbon,15.0,high,6,1,realworld_stress,
220,187,64.23607479568946,1.2219251336898396,7.341666666666663,62,2.035984848484848,srtf,15.0,high,6,1,realworld_stress,
220,185,59.70005019070446,1.388288288288288,7.233333333333332,77,2.2443181818181817,q_drl,15.0,high,6,1,realworld_stress,
220,183,57.360716574536895,1.62431693989071,8.658333333333333,215,2.5780303030303027,q_drl_guarded,15.0,high,6,1,realworld_stress,0.9
220,163,63.296455277120714,1.5102249488752555,6.358333333333336,669,3.5011363636363635,las_proxy,15.0,high,6,1,parity_30seed,
220,137,54.6029389637635,3.872262773722628,10.183333333333326,296,4.28219696969697,ecovisor_proxy,15.0,high,6,1,parity_30seed,
220,172,61.367934453992085,2.26937984496124,8.479166666666652,550,3.3458333333333328,gaia_proxy,15.0,high,6,1,parity_30seed,
220,136,79.1627044972435,4.416666666666665,10.645833333333332,0,4.332575757575757,fcfs,15.0,high,8,1,realworld_stress,
220,139,74.42762396218878,4.420863309352518,11.166666666666666,278,4.536742424242424,carbon,15.0,high,8,1,realworld_stress,
220,195,82.06697458006285,1.278205128205128,7.608333333333332,67,1.4329545454545454,srtf,15.0,high,8,1,realworld_stress,
220,196,81.24663907576692,1.621173469387755,7.916666666666666,120,1.6549242424242423,q_drl,15.0,high,8,1,realworld_stress,
220,194,77.06791729644547,1.8616838487972507,8.233333333333329,249,1.981818181818182,q_drl_guarded,15.0,high,8,1,realworld_stress,0.9
220,175,81.66033089254017,1.216190476190476,4.966666666666663,811,2.590151515151515,las_proxy,15.0,high,8,1,parity_30seed,
220,154,72.90132047430654,3.2094155844155843,10.79166666666666,292,3.0594696969696966,ecovisor_proxy,15.0,high,8,1,parity_30seed,
220,182,78.28681737195001,1.7806776556776556,6.816666666666663,651,2.2359848484848484,gaia_proxy,15.0,high,8,1,parity_30seed,
140,99,55.57212442709276,4.641414141414141,10.191666666666665,0,4.133333333333333,fcfs,20.0,moderate,6,1,realworld_stress,
140,97,53.17341288835871,4.594501718213057,10.583333333333329,222,4.4279761904761905,carbon,20.0,moderate,6,1,realworld_stress,
140,128,55.287294283458245,1.4166666666666665,8.329166666666664,44,1.3089285714285714,srtf,20.0,moderate,6,1,realworld_stress,
140,127,55.72076224903214,1.5918635170603677,7.574999999999993,81,1.45,q_drl,20.0,moderate,6,1,realworld_stress,
140,127,54.32140437534192,1.8832020997375325,8.208333333333318,175,1.6958333333333333,q_drl_guarded,20.0,moderate,6,1,realworld_stress,0.9
140,119,56.22690859255281,1.507703081232493,6.083333333333329,658,2.1375,las_proxy,20.0,moderate,6,1,parity_30seed,
140,109,50.289785233048285,3.262996941896024,10.38333333333333,222,2.794047619047619,ecovisor_proxy,20.0,moderate,6,1,parity_30seed,
140,119,53.477549587076304,1.7464985994397757,7.433333333333323,493,2.0839285714285714,gaia_proxy,20.0,moderate,6,1,parity_30seed,
140,110,67.53132022657572,3.566666666666667,7.8791666666666655,0,2.683333333333333,fcfs,20.0,moderate,8,1,realworld_stress,
140,120,64.23493580271459,3.3041666666666667,10.004166666666666,214,2.6767857142857143,carbon,20.0,moderate,8,1,realworld_stress,
140,132,67.69046351884731,1.3914141414141412,6.454166666666666,39,0.7714285714285715,srtf,20.0,moderate,8,1,realworld_stress,
140,125,67.2436415183193,1.5453333333333328,6.383333333333332,146,1.025,q_drl,20.0,moderate,8,1,realworld_stress,
140,122,65.88953667049526,1.635928961748634,7.674999999999983,222,1.1541666666666666,q_drl_guarded,20.0,moderate,8,1,realworld_stress,0.9
140,125,67.41747529292758,1.4579999999999997,7.433333333333333,819,1.3720238095238093,las_proxy,20.0,moderate,8,1,parity_30seed,
140,118,62.132414307743225,2.3940677966101696,8.35833333333333,209,1.7357142857142858,ecovisor_proxy,20.0,moderate,8,1,parity_30seed,
140,126,64.4246888062866,1.8161375661375656,9.958333333333332,600,1.4279761904761905,gaia_proxy,20.0,moderate,8,1,parity_30seed,
220,106,59.85569681436256,5.293238993710691,11.395833333333332,0,5.925757575757575,fcfs,20.0,high,6,1,realworld_stress,
220,107,55.57746210116646,5.0412772585669785,15.208333333333327,326,6.221969696969697,carbon,20.0,high,6,1,realworld_stress,
220,187,64.22227046664261,1.2219251336898396,7.341666666666663,62,2.035984848484848,srtf,20.0,high,6,1,realworld_stress,
220,185,60.01111062981513,1.3923423423423424,7.233333333333332,81,2.2416666666666667,q_drl,20.0,high,6,1,realworld_stress,
220,183,57.118252664869246,1.675774134790528,8.658333333333333,233,2.620833333333333,q_drl_guarded,20.0,high,6,1,realworld_stress,0.9
220,163,63.30502632882691,1.5102249488752555,6.358333333333336,669,3.5011363636363635,las_proxy,20.0,high,6,1,parity_30seed,
220,137,54.149959434085396,3.842457420924574,10.083333333333329,321,4.263636363636364,ecovisor_proxy,20.0,high,6,1,parity_30seed,
220,170,60.72723750301938,2.2421568627450976,7.879166666666665,574,3.401136363636364,gaia_proxy,20.0,high,6,1,parity_30seed,
220,136,79.18163811197057,4.416666666666665,10.645833333333332,0,4.332575757575757,fcfs,20.0,high,8,1,realworld_stress,
220,139,74.24851197569883,4.265587529976019,10.924999999999999,390,4.4386363636363635,carbon,20.0,high,8,1,realworld_stress,
220,195,82.08299646917614,1.278205128205128,7.608333333333332,67,1.4329545454545454,srtf,20.0,high,8,1,realworld_stress,
220,196,81.28239814910327,1.621173469387755,7.916666666666666,120,1.6549242424242423,q_drl,20.0,high,8,1,realworld_stress,
220,194,77.0694119047285,1.8286082474226804,7.50833333333333,256,1.9575757575757573,q_drl_guarded,20.0,high,8,1,realworld_stress,0.9
220,175,81.71490922375716,1.216190476190476,4.966666666666663,811,2.590151515151515,las_proxy,20.0,high,8,1,parity_30seed,
220,153,72.67398237851395,3.1181917211328973,10.45,328,3.034090909090909,ecovisor_proxy,20.0,high,8,1,parity_30seed,
220,181,77.63761789974323,1.8052486187845305,6.833333333333333,653,2.2606060606060607,gaia_proxy,20.0,high,8,1,parity_30seed,
140,132,46.11967410562593,2.1862373737373737,5.437499999999995,0,1.3809523809523807,fcfs,15.0,moderate,6,2,realworld_stress,
140,134,45.51797463707689,2.378731343283582,6.779166666666666,77,1.5785714285714285,carbon,15.0,moderate,6,2,realworld_stress,
140,134,44.99253642732968,0.9794776119402985,4.566666666666663,37,0.3476190476190476,srtf,15.0,moderate,6,2,realworld_stress,
140,133,45.79666673863744,1.395989974937343,5.699999999999999,108,0.6363095238095238,q_drl,15.0,moderate,6,2,realworld_stress,
140,133,45.51872262540566,1.4179197994987465,5.649999999999999,117,0.655952380952381,q_drl_guarded,15.0,moderate,6,2,realworld_stress,0.9
140,131,45.765399049557985,1.0330788804071245,4.541666666666666,373,0.6833333333333332,las_proxy,15.0,moderate,6,2,parity_30seed,
140,135,45.013827686829316,1.6796296296296291,5.024999999999997,75,0.9714285714285714,ecovisor_proxy,15.0,moderate,6,2,parity_30seed,
140,134,44.563557597086564,1.1809701492537314,5.51666666666666,222,0.5303571428571429,gaia_proxy,15.0,moderate,6,2,parity_30seed,
140,136,48.64027984441909,1.2408088235294117,3.958333333333333,0,0.4779761904761904,fcfs,15.0,moderate,8,2,realworld_stress,
140,136,48.71428065090189,1.441176470588235,5.291666666666666,22,0.6726190476190476,carbon,15.0,moderate,8,2,realworld_stress,
140,136,48.1576266830892,0.8848039215686273,4.208333333333333,12,0.13273809523809524,srtf,15.0,moderate,8,2,realworld_stress,
140,136,48.47510551765477,1.0122549019607843,4.520833333333333,70,0.25595238095238093,q_drl,15.0,moderate,8,2,realworld_stress,
140,136,48.20956970333932,1.0594362745098038,4.5625,69,0.30178571428571427,q_drl_guarded,15.0,moderate,8,2,realworld_stress,0.9
140,136,48.34329939005212,0.9969362745098038,4.4375,160,0.24107142857142858,las_proxy,15.0,moderate,8,2,parity_30seed,
140,136,48.296189941747166,1.1911764705882353,4.375,33,0.4303571428571429,ecovisor_proxy,15.0,moderate,8,2,parity_30seed,
140,136,47.87854855059845,0.9865196078431372,4.583333333333333,110,0.23154761904761903,gaia_proxy,15.0,moderate,8,2,parity_30seed,
220,156,56.38931882337568,4.627136752136751,9.6875,0,3.899242424242424,fcfs,15.0,high,6,2,realworld_stress,
220,163,51.87553623753098,4.570040899795501,11.416666666666666,147,3.910984848484848,carbon,15.0,high,6,2,realworld_stress,
220,202,55.81646095807672,1.1687293729372936,4.833333333333333,67,1.0693181818181818,srtf,15.0,high,6,2,realworld_stress,
220,202,56.20318651378976,1.2009075907590758,5.154166666666663,59,1.093939393939394,q_drl,15.0,high,6,2,realworld_stress,
220,201,54.96364553170208,1.4436152570480927,6.75,183,1.3204545454545455,q_drl_guarded,15.0,high,6,2,realworld_stress,0.9
220,184,56.73627589523462,1.3994565217391304,5.25,550,2.171969696969697,las_proxy,15.0,high,6,2,parity_30seed,
220,168,53.155424963691644,3.449900793650793,7.804166666666667,173,2.980681818181818,ecovisor_proxy,15.0,high,6,2,parity_30seed,
220,190,54.89280311625849,1.5004385964912283,5.8583333333333245,500,1.5530303030303028,gaia_proxy,15.0,high,6,2,parity_30seed,
220,180,70.8352485015458,3.1462962962962964,6.762499999999996,0,2.3227272727272728,fcfs,15.0,high,8,2,realworld_stress,
220,193,69.59195912809149,2.922711571675302,7.583333333333333,120,2.269318181818182,carbon,15.0,high,8,2,realworld_stress,
220,207,69.84614419758246,1.0929951690821254,5.974999999999999,67,0.5643939393939393,srtf,15.0,high,8,2,realworld_stress,
220,203,70.34794629810848,1.389983579638752,6.691666666666653,217,0.8238636363636364,q_drl,15.0,high,8,2,realworld_stress,
220,202,69.21598705883198,1.5024752475247523,6.316666666666663,346,0.9723484848484848,q_drl_guarded,15.0,high,8,2,realworld_stress,0.9
220,200,70.48231375141584,1.225833333333333,5.354166666666659,666,1.1321969696969696,las_proxy,15.0,high,8,2,parity_30seed,
220,197,68.84048068469596,2.2068527918781724,6.0,145,1.5386363636363636,ecovisor_proxy,15.0,high,8,2,parity_30seed,
220,197,68.89263475273852,1.2753807106598984,4.86666666666666,640,0.9670454545454545,gaia_proxy,15.0,high,8,2,parity_30seed,
140,132,46.06966455287477,2.1862373737373737,5.437499999999995,0,1.3809523809523807,fcfs,20.0,moderate,6,2,realworld_stress,
140,134,45.20435925510369,2.3190298507462686,6.833333333333333,119,1.5220238095238094,carbon,20.0,moderate,6,2,realworld_stress,
140,134,44.896841388056274,0.9794776119402985,4.566666666666663,37,0.3476190476190476,srtf,20.0,moderate,6,2,realworld_stress,
140,132,45.68201879160331,1.3768939393939392,5.75,72,0.6136904761904761,q_drl,20.0,moderate,6,2,realworld_stress,
140,133,45.357165324803546,1.4392230576441103,5.533333333333332,125,0.6767857142857143,q_drl_guarded,20.0,moderate,6,2,realworld_stress,0.9
140,131,45.67459154896706,1.0330788804071245,4.541666666666666,373,0.6833333333333332,las_proxy,20.0,moderate,6,2,parity_30seed,
140,135,44.866589525452156,1.674074074074074,5.049999999999997,88,0.9654761904761904,ecovisor_proxy,20.0,moderate,6,2,parity_30seed,
140,134,44.46513839156918,1.1778606965174128,5.4874999999999945,220,0.5261904761904761,gaia_proxy,20.0,moderate,6,2,parity_30seed,
140,136,48.51082925919089,1.2408088235294117,3.958333333333333,0,0.4779761904761904,fcfs,20.0,moderate,8,2,realworld_stress,
140,136,48.248077548227315,1.414828431372549,4.5625,74,0.6470238095238094,carbon,20.0,moderate,8,2,realworld_stress,
140,136,48.027323076016245,0.8848039215686273,4.208333333333333,12,0.13273809523809524,srtf,20.0,moderate,8,2,realworld_stress,
140,136,48.30350237436742,1.0110294117647058,4.479166666666666,78,0.25476190476190474,q_drl,20.0,moderate,8,2,realworld_stress,
140,136,47.917049871297486,1.0588235294117647,4.5625,88,0.3011904761904762,q_drl_guarded,20.0,moderate,8,2,realworld_stress,0.9
140,136,48.20646587712318,0.9969362745098038,4.4375,160,0.24107142857142858,las_proxy,20.0,moderate,8,2,parity_30seed,
140,136,48.1526807620541,1.1887254901960784,4.375,35,0.42797619047619045,ecovisor_proxy,20.0,moderate,8,2,parity_30seed,
140,136,47.62588886463663,0.9846813725490193,4.479166666666666,109,0.22976190476190475,gaia_proxy,20.0,moderate,8,2,parity_30seed,
220,156,56.48527062076793,4.627136752136751,9.6875,0,3.899242424242424,fcfs,20.0,high,6,2,realworld_stress,
220,164,51.74191003909951,4.432418699186992,11.0,216,3.826515151515151,carbon,20.0,high,6,2,realworld_stress,
220,202,55.93705326980263,1.1687293729372936,4.833333333333333,67,1.0693181818181818,srtf,20.0,high,6,2,realworld_stress,
220,202,56.30812138766264,1.2013201320132012,5.154166666666663,61,1.0943181818181817,q_drl,20.0,high,6,2,realworld_stress,
220,201,54.937493253865846,1.4440298507462686,6.833333333333333,188,1.3208333333333333,q_drl_guarded,20.0,high,6,2,realworld_stress,0.9
220,184,56.84126668074768,1.3994565217391304,5.25,550,2.171969696969697,las_proxy,20.0,high,6,2,parity_30seed,
220,169,53.051435853868405,3.4299802761341214,7.75,184,2.9488636363636362,ecovisor_proxy,20.0,high,6,2,parity_30seed,
220,190,54.116540490271284,1.5929824561403507,6.416666666666666,523,1.6329545454545455,gaia_proxy,20.0,high,6,2,parity_30seed,
220,180,70.99976627846674,3.1462962962962964,6.762499999999996,0,2.3227272727272728,fcfs,20.0,high,8,2,realworld_stress,
220,193,69.26878421376944,2.8786701208980996,7.533333333333331,185,2.230681818181818,carbon,20.0,high,8,2,realworld_stress,
220,207,69.97952397790921,1.0929951690821254,5.974999999999999,67,0.5643939393939393,srtf,20.0,high,8,2,realworld_stress,
220,203,70.45813851848477,1.3513957307060755,6.37499999999999,219,0.8060606060606059,q_drl,20.0,high,8,2,realworld_stress,
220,203,69.15754625160756,1.4577175697865352,6.083333333333333,290,0.925,q_drl_guarded,20.0,high,8,2,realworld_stress,0.9
220,200,70.6307996253054,1.225833333333333,5.354166666666659,666,1.1321969696969696,las_proxy,20.0,high,8,2,parity_30seed,
220,197,68.7682943757085,2.1967005076142128,5.933333333333332,182,1.5295454545454545,ecovisor_proxy,20.0,high,8,2,parity_30seed,
220,197,68.29814486313398,1.333756345177665,5.249999999999995,639,1.0189393939393938,gaia_proxy,20.0,high,8,2,parity_30seed,
140,136,46.161831595995096,1.063112745098039,3.645833333333333,0,0.34047619047619043,fcfs,15.0,moderate,6,3,realworld_stress,
140,136,45.28333330025917,1.1397058823529411,3.583333333333333,61,0.41488095238095235,carbon,15.0,moderate,6,3,realworld_stress,
140,136,45.588814725660015,0.860906862745098,3.583333333333333,16,0.14523809523809522,srtf,15.0,moderate,6,3,realworld_stress,
140,136,45.75848230887327,0.9344362745098039,3.770833333333333,33,0.21547619047619046,q_drl,15.0,moderate,6,3,realworld_stress,
140,136,45.598387734512144,0.9295343137254902,3.770833333333333,37,0.21071428571428572,q_drl_guarded,15.0,moderate,6,3,realworld_stress,0.9
140,136,45.966256736287825,1.0134803921568627,4.104166666666666,186,0.2922619047619047,las_proxy,15.0,moderate,6,3,parity_30seed,
140,136,45.67125822132975,0.9693627450980391,3.770833333333333,29,0.25,ecovisor_proxy,15.0,moderate,6,3,parity_30seed,
140,136,45.56844618676921,0.96875,3.833333333333333,117,0.24880952380952379,gaia_proxy,15.0,moderate,6,3,parity_30seed,
140,136,45.62828889799227,0.8075980392156862,2.833333333333333,0,0.09226190476190475,fcfs,15.0,moderate,8,3,realworld_stress,
140,136,45.48911550692645,0.8161764705882353,2.833333333333333,42,0.10059523809523808,carbon,15.0,moderate,8,3,realworld_stress,
140,136,45.65361947359403,0.7567401960784313,2.8125,11,0.04285714285714286,srtf,15.0,moderate,8,3,realworld_stress,
140,136,45.593860428751746,0.801470588235294,2.875,14,0.0863095238095238,q_drl,15.0,moderate,8,3,realworld_stress,
140,136,45.592293866007665,0.801470588235294,2.875,15,0.0863095238095238,q_drl_guarded,15.0,moderate,8,3,realworld_stress,0.9
140,136,45.6346614675385,0.8026960784313726,2.9791666666666665,63,0.0875,las_proxy,15.0,moderate,8,3,parity_30seed,
140,136,45.68803552701,0.7714460784313725,2.875,14,0.05714285714285714,ecovisor_proxy,15.0,moderate,8,3,parity_30seed,
